name,age,street,city,state,zip,dollar,pick,date
Russell Horton,35,Gibar Way,Inerergu,MO,81007,$4849.28,RED,08/31/2004
Frank Guzman,28,Hanu Pike,Fevomefim,DE,45481,$4071.09,WHITE,08/12/2037
Glenn Sullivan,34,Zeni Point,Jimasit,LA,88748,$326.59,YELLOW,11/07/1940
John Harper,64,Ejgi Manor,Gukuiw,NM,49698,$2206.31,WHITE,07/25/2025
Nina Doyle,33,Jecur Highway,Dofmasin,MS,02426,$5314.26,BLUE,08/10/1916
Lily Osborne,34,Zasiku Way,Wudutgub,CT,81660,$3175.49,BLUE,11/22/1904
Carolyn Boone,26,Howiw View,Ziasgo,MI,31346,$9087.61,YELLOW,12/16/1907
Shane Burton,65,Caha Terrace,Hezwahes,HI,41641,$1747.72,BLUE,12/07/2020
Grace Cole,30,Papper Key,Ugehele,AZ,23653,$2075.33,GREEN,05/18/1948
Winifred Ball,53,Ivgu Heights,Zupojis,VA,04279,$4755.43,RED,06/26/1981
Evelyn Parsons,36,Mozpif Circle,Zevuvedu,MD,11702,$5364.22,GREEN,06/06/2062
Frank Hubbard,20,Jovdok Way,Seanse,ID,83267,$3662.32,YELLOW,02/17/1926
Lulu Alexander,24,Mudu Circle,Husofmim,OR,37197,$5264.88,GREEN,11/05/1912
Loretta Fowler,35,Wuvma Park,Forigab,MO,93024,$6785.72,RED,12/05/1985
Carolyn Russell,35,Dujo Point,Atigebe,AR,85781,$9968.98,WHITE,08/18/2025
Norman Ballard,30,Bevlu Grove,Zaozudu,ME,41427,$9570.78,GREEN,06/14/1960
Mamie Rodriquez,44,Saza Grove,Kivouc,NY,86853,$5922.97,BLUE,08/29/1941
Isabelle Cummings,58,Otafu Park,Joloag,IA,63290,$8204.22,RED,12/18/1941
Milton Tran,25,Lasa Drive,Pokivhos,OR,93014,$413.97,WHITE,02/17/1901
Genevieve Dean,56,Bike Glen,Luhaij,WV,24277,$3165.15,RED,09/12/1999
Isabel Meyer,32,Meaf View,Ciwegko,VA,91321,$3618.51,WHITE,12/18/1929
Richard Perry,36,Pohu Square,Wanepnuk,VA,94978,$2465.40,GREEN,02/13/2000
Ann Baldwin,47,Docno Mill,Jehosutok,FL,93048,$4609.40,YELLOW,09/10/2022
Jon McKinney,63,Vete Junction,Fimiski,AL,28445,$314.91,BLUE,07/24/1958
Bernard Sandoval,42,Volu Junction,Rafitze,GA,86175,$9272.15,GREEN,11/03/1920
Anthony Cannon,31,Norze Highway,Vodsemu,KS,78945,$5812.18,BLUE,11/25/1969
Grace Baldwin,27,Hospo Heights,Binazow,CA,44168,$1183.56,YELLOW,03/16/1939
Agnes Abbott,40,Vomer Circle,Sovfijoka,WI,03573,$5972.31,RED,04/03/2010
Della Montgomery,25,Konvas Square,Veomuzip,AK,02558,$7449.75,YELLOW,06/14/1980
Julian Flores,58,Mogsar Glen,Orewegek,WA,20863,$4006.30,RED,12/19/1904
Emma Payne,21,Tagzup Way,Wijlerwe,SC,15033,$7689.91,BLUE,10/07/2068
Ronald Casey,63,Necuw Place,Ovdiccaj,MT,79265,$7364.52,YELLOW,12/07/1983
Jane Lindsey,50,Locur Loop,Teboeso,KY,74663,$5041.21,BLUE,05/19/1987
Troy Alvarado,29,Sorber Junction,Fiwlujdu,IN,27879,$7392.83,WHITE,06/13/1987
Dale Clark,19,Dalzo Parkway,Ipewugku,IA,93880,$7991.60,WHITE,08/19/1990
Verna Waters,51,Igeaf Manor,Tafodizu,LA,36845,$3271.55,BLUE,11/12/2017
Theresa Simon,36,Owren Loop,Mabieso,IA,52707,$546.28,RED,09/26/2053
Lucille Keller,37,Coji Street,Bagofa,WI,52857,$1174.59,GREEN,12/26/1992
Julia Austin,38,Ucegun River,Tiippa,RI,31466,$7865.79,BLUE,03/06/2058
Winnie Kim,33,Nidruh Place,Gemjuawo,IN,80704,$4843.44,YELLOW,08/11/1914
Charlie Soto,48,Majil Mill,Jopaewu,NH,54694,$2499.11,RED,12/12/1966
Jeff Summers,43,Huwur Court,Izuwones,IN,93585,$2330.93,GREEN,08/03/2010
Lucas Griffith,27,Temwo Manor,Sinluseg,HI,74942,$8819.87,BLUE,10/13/1978
Johnny Adams,50,Humku Road,Savsejfep,IA,99236,$1344.16,WHITE,07/15/2031
Martha Marshall,31,Nabpel Street,Jezudiga,NE,75271,$4923.75,GREEN,09/24/1904
Roy Murphy,39,Bihup Path,Hozehi,OR,88967,$6447.48,RED,09/10/1982
Lewis Page,49,Nepfi Court,Lipabe,CA,66950,$9211.57,YELLOW,05/31/2027
Ophelia Carson,65,Pide Grove,Batiremuz,CO,06805,$1022.35,RED,08/11/2010
Melvin Franklin,55,Wenpi Glen,Cojocbi,NC,90656,$7371.26,WHITE,05/02/1986
Lida Cruz,58,Vorag Pass,Ezinosan,AL,95004,$8280.79,RED,07/13/2008
Vera Newman,32,Wiror Boulevard,Ufuavhit,ND,32434,$6401.81,BLUE,09/20/2026
Louis George,36,Cawmo Ridge,Runinis,MN,73237,$6828.28,BLUE,09/23/2062
Robert Bryant,42,Zokpif Key,Bukuhe,AK,65857,$4650.92,WHITE,07/16/2014
Rosa Harrington,63,Urumiv Boulevard,Acaluzosu,KS,62939,$6403.56,RED,03/09/1956
Harry Craig,50,Mireg Pike,Hejsafloh,NC,90129,$6147.65,RED,10/30/2038
Beatrice Cobb,54,Bedwoj Pike,Widvagoh,IL,40076,$5715.02,YELLOW,05/11/1931
Katie Wright,60,Odwos River,Joptoef,WV,88633,$6277.63,RED,05/11/1935
Nicholas Simon,25,Jiwte Center,Jodunec,SD,74686,$624.02,RED,11/13/1913
Alta Rowe,59,Tigtud Turnpike,Peubize,OR,58946,$2596.22,WHITE,09/30/1991
Marc Griffith,30,Ceisa Turnpike,Bueklar,IA,16518,$9416.68,YELLOW,05/01/1992
Jeff Rose,42,Ognac Grove,Lubelapa,VA,62425,$5981.83,BLUE,10/16/1945
Lucile Glover,28,Jaze Point,Abzipa,IL,32384,$2911.69,RED,01/14/2034
Bobby Lambert,60,Gorwi Point,Cekugaz,ME,90588,$9070.96,WHITE,12/30/2058
Terry Gordon,44,Netra Junction,Laighat,WY,22802,$5212.09,WHITE,05/01/1929
Bruce French,60,Epaka Glen,Ronasme,IA,83979,$4265.20,GREEN,01/23/1958
Georgia Phillips,18,Hoer Way,Vovamke,NE,00972,$9320.03,WHITE,07/23/1957
Lula Patton,65,Jahvi Heights,Veajzo,VA,24214,$7643.21,GREEN,12/20/2005
Barry Owens,36,Vaar Highway,Gofkawbev,NM,86283,$85.99,RED,01/06/2016
Garrett Wilkins,28,Ejuti Square,Simnomno,WY,78358,$9373.51,YELLOW,10/17/1982
Seth Stokes,27,Amamu Center,Ezuwbas,TX,54384,$8077.60,BLUE,06/02/2050
Bryan Houston,61,Vahe Center,Jicagop,OK,28578,$9344.77,YELLOW,07/11/1911
Randall Fields,19,Gasa Junction,Pizeviri,TX,01556,$8506.02,BLUE,02/01/2039
Steven Garcia,58,Fiwfo Lane,Dacamwiv,VT,14714,$7909.53,WHITE,12/03/2040
Olivia Daniels,50,Nidek Boulevard,Puclipal,CT,61436,$1402.53,BLUE,02/05/1998
Elsie Kim,48,Dezku Lane,Faroto,WV,45221,$5517.00,RED,11/03/1906
Lois Rios,65,Rusi Square,Romucuuj,HI,82769,$17.76,GREEN,04/10/1912
Owen Roberts,21,Wibmer Circle,Doitju,MD,57701,$8541.19,GREEN,11/15/1955
Leo Gomez,26,Cihzap Way,Kabiciw,MT,49574,$216.99,YELLOW,06/12/1969
Lewis Watson,26,Lide Way,Famiame,HI,56692,$9995.58,BLUE,10/04/1998
Blanche Tyler,26,Fenom Pass,Cinsapo,AL,47336,$6314.91,BLUE,08/15/2043
Beulah Holland,54,Hubu Pass,Dunkagfop,NC,86678,$4945.54,BLUE,08/04/2049
Ricardo Turner,62,Ezuuc Parkway,Ufubhu,MD,95631,$7370.28,BLUE,09/02/1950
Eva Johnston,43,Raiku Turnpike,Puhfonha,IN,30223,$3708.82,YELLOW,08/27/1942
Harriet Holland,52,Babum Trail,Wivaroef,VA,48274,$6195.76,WHITE,01/21/2065
Polly McDonald,37,Tadro Extension,Ivcowut,VT,56759,$2035.85,GREEN,03/26/2049
Susan George,37,Wufife Circle,Udhizef,OH,79350,$719.29,WHITE,06/30/1997
Alta Nichols,35,Ibak Street,Lumaja,NJ,03364,$9565.79,BLUE,07/11/1909
Mike Grant,28,Mikuj Grove,Tadeug,CO,27936,$2811.46,WHITE,01/01/2032
Lillie Newman,31,Nozco Road,Dopapwi,MS,33177,$7717.36,RED,03/13/2048
Derrick Hill,63,Nusza Parkway,Hoskoka,MN,22664,$310.44,WHITE,04/23/2010
Bruce Byrd,42,Gegbu Path,Macsice,MD,26000,$9807.92,GREEN,04/29/1910
Vernon Cox,26,Neva Center,Samjojuc,DC,40872,$440.07,WHITE,09/29/1996
Jerry Brock,37,Ewhiw Glen,Ratalec,CO,92602,$1325.18,RED,12/07/2040
Eva Logan,44,Neze Terrace,Izborke,DC,75772,$6680.93,YELLOW,02/14/1971
Antonio Potter,64,Ciknib Plaza,Nizzabu,KY,39541,$8943.37,YELLOW,05/10/1972
Maria Hunt,22,Duli Road,Kuhfojco,KY,14093,$2288.06,GREEN,01/29/1932
Jesse Mack,40,Tagni Road,Vaknuali,LA,91879,$436.47,YELLOW,08/13/1953
Sue Nelson,39,Datup Key,Fodropi,KY,20508,$5025.13,WHITE,11/11/1940
Lou Stevens,39,Cufoh Path,Wufrevepe,OH,90393,$8340.97,GREEN,09/23/2052
Bessie Gilbert,65,Nuzih Parkway,Etufavov,MD,41161,$3946.13,RED,03/24/2052
Olga Colon,44,Diwus Terrace,Zuklafoj,AK,12944,$5344.68,RED,06/22/2026
Laura Hines,45,Misnu Plaza,Hemarno,CO,84276,$433.08,WHITE,06/12/2021
Phillip Harmon,51,Jovez Highway,Tidukamed,VT,62546,$9083.37,RED,04/10/1946
Earl Wilkins,42,Umabop Point,Kobuzkos,MT,28080,$9316.17,GREEN,08/07/1993
Johanna Stephens,55,Wabi Loop,Fankagot,HI,37592,$8984.15,BLUE,04/22/1962
Tom Jackson,24,Porum Parkway,Ridpunit,SD,69664,$9716.65,WHITE,08/13/2054
Viola Allen,39,Bobo Point,Nihajze,IL,01940,$1037.30,RED,07/19/1991
Sally Cox,44,Majof Heights,Jebvudwu,LA,76576,$1377.63,RED,02/19/1935
Maggie Vega,45,Ipuwab Park,Wumevet,PA,45758,$6248.05,BLUE,04/29/1990
Elva Phillips,63,Fezko Place,Digecob,NC,73650,$1348.30,BLUE,03/26/1928
Martha Sullivan,20,Lovce Parkway,Naiguvo,ND,85204,$5681.49,WHITE,11/23/1998
Henry Saunders,54,Zumi Park,Bedbotdo,MI,14397,$5572.42,WHITE,01/05/1902
Brett McDaniel,61,Uritir Center,Vatvaebe,NE,38589,$3343.76,WHITE,11/11/1925
Sue Haynes,62,Jahdu Way,Cusdize,NE,25306,$2634.11,WHITE,03/11/2063
Douglas Hart,56,Caksin Road,Miwoic,SC,98907,$8237.81,RED,08/10/1933
Martha Williamson,59,Ubef Glen,Rawlolig,MD,36565,$409.58,RED,03/29/2050
Nellie Walters,34,Cokpa Court,Vagcalcer,CT,22545,$8701.34,GREEN,01/12/2004
Grace Graham,31,Ticu Highway,Hazrocref,OH,55902,$1556.21,WHITE,03/17/1969
Jack Anderson,32,Uwpig Place,Juipkar,AK,56549,$7830.83,RED,08/07/1985
Emilie Davis,38,Magcoz Square,Wecsember,VA,50232,$6982.46,BLUE,05/16/1945
Maria Neal,24,Boco Center,Bocemag,NM,90150,$5629.89,WHITE,03/13/2008
Richard Olson,35,Onjod Terrace,Wevrocur,KS,40044,$781.94,GREEN,09/13/1968
Jeremy Olson,57,Igaogi Center,Bidnafe,CT,06784,$6118.40,GREEN,05/14/2033
Jeremy Bailey,22,Noffi Place,Obahiazu,UT,88547,$3653.25,BLUE,12/20/1997
Adeline Perry,57,Fizaj River,Musugomum,NJ,34254,$3089.76,WHITE,11/15/2051
Manuel Chapman,25,Orjip Loop,Awrano,MD,03701,$675.99,RED,02/24/2054
Henrietta Black,22,Begit Way,Nauvvec,MS,13548,$8651.67,RED,10/07/2027
Christina French,65,Cesen Street,Fisbalvo,NJ,86692,$2767.79,RED,09/13/1946
Sue Sanchez,36,Uzani Extension,Luiwja,VA,15363,$9876.17,WHITE,02/05/1903
Sean Hopkins,64,Hamoz Heights,Jupififu,NJ,23910,$6721.87,WHITE,06/07/1971
Victor French,32,Woafi Glen,Disvaige,VA,36606,$1606.84,YELLOW,07/26/2001
Minerva Carter,31,Dedloh Glen,Tanazbe,SD,96635,$1422.89,YELLOW,07/24/2022
Jeffrey Leonard,62,Talrup Plaza,Osleti,WY,63632,$128.33,YELLOW,01/14/1956
Alfred Leonard,35,Ebvog Drive,Dizobroz,MD,03262,$3787.97,BLUE,10/28/2013
Willie Foster,19,Irowob Boulevard,Gubnubam,CO,36514,$7025.50,WHITE,07/18/1927
Ruth Graves,32,Ozepi Street,Esusebak,SD,76634,$4167.05,RED,12/07/1976
Lora Chambers,60,Pifot Ridge,Copreuzu,CT,30547,$8963.64,RED,09/18/1921
Sally Hansen,32,Jiwu Center,Pofhuddu,MA,74412,$8205.39,YELLOW,08/22/1943
Della Beck,63,Sipo Turnpike,Regehi,NM,32641,$4386.31,WHITE,05/04/2038
Samuel Welch,28,Kaeti Avenue,Iprugla,MO,36866,$2606.37,GREEN,10/29/1990
Nellie Daniel,45,Kapfu Trail,Niohuhic,WI,39996,$5821.04,YELLOW,09/30/1948
Luis Flowers,21,Gowep Park,Cavaigo,WY,42505,$9340.12,YELLOW,12/13/2010
Hattie Santiago,35,Sevse Key,Fildaki,KY,86945,$8955.62,WHITE,06/16/2016
Martin Jordan,37,Vesaz Ridge,Fatefifoc,NE,59480,$9540.30,WHITE,01/19/1921
Alejandro Caldwell,64,Rohsa Extension,Booslo,MA,86186,$6296.34,YELLOW,08/20/1909
Loretta Wilkins,35,Odeike Mill,Zevnejo,UT,30369,$9293.72,RED,05/16/2065
Jessie Foster,18,Lemon Park,Dufubko,NV,54436,$4353.40,BLUE,12/31/2048
Marian Glover,34,Rudine Road,Arejefa,AL,99036,$528.27,BLUE,09/06/1943
Dorothy Pope,24,Fuozo Circle,Etuzosir,NJ,01966,$2522.41,WHITE,01/09/2057
Todd Sullivan,22,Egda River,Lamobima,VA,43870,$190.47,WHITE,02/13/1947
Callie Valdez,65,Fagmu Lane,Terazav,LA,35881,$2770.29,YELLOW,10/13/1932
Micheal Greene,65,Bepot Glen,Ifazosfo,NH,79838,$1348.89,BLUE,09/07/1960
Abbie Perkins,41,Corja Road,Icahuplok,SD,55583,$7924.04,BLUE,10/14/1936
Helen Bass,32,Witvag Center,Buzigga,WV,22745,$4409.69,RED,10/08/1956
Lester Marsh,22,Weka Glen,Ulkekug,OH,65873,$2076.07,YELLOW,07/10/2025
Luke Day,44,Fovu Ridge,Muiven,NE,27362,$477.90,WHITE,03/01/1948
Gavin Osborne,60,Miben Pike,Ohubito,DE,35873,$1654.26,RED,11/14/2062
Eva Burton,24,Simo River,Jokzomav,WV,70170,$1300.72,WHITE,04/18/2056
Pauline Lowe,29,Umafom Key,Ufzaneh,WV,66345,$9771.65,YELLOW,12/12/1943
Grace Wells,33,Uzijol Pass,Etahozun,AK,82422,$4189.79,GREEN,04/17/2041
Maria Byrd,42,Azaup Manor,Mesvezal,ID,22778,$7710.36,GREEN,12/12/1951
Hulda Farmer,57,Garasu Loop,Gewimhoj,GA,08050,$1445.41,RED,09/27/1932
Kate Willis,39,Pasta Drive,Farilev,WY,17956,$2221.52,GREEN,09/08/1957
Emilie Glover,26,Jujzu Glen,Jokmahubo,LA,04120,$9030.54,YELLOW,02/10/2011
Susie Kim,47,Vojdek Junction,Wukanot,UT,79625,$1453.40,BLUE,11/11/1977
Agnes Malone,27,Avuma Trail,Cahkohoj,OK,74505,$4434.55,BLUE,07/27/2017
Teresa Mann,64,Suis Center,Niceknu,ND,34253,$5411.39,GREEN,06/29/1939
Ethel Ford,58,Hongu Manor,Girati,AR,90097,$7164.70,RED,04/07/1965
Lina Perez,58,Nifo Terrace,Efehiuci,IN,54891,$8476.42,WHITE,11/29/1925
Genevieve Henderson,58,Fepev Highway,Ubtatfi,AK,32740,$2764.22,RED,08/02/1958
Sara Reid,29,Hokit Loop,Rafijo,MS,03075,$6429.15,YELLOW,05/17/2002
Jeremy Santiago,35,Venih Key,Olupoiwe,MT,91358,$8896.63,RED,02/04/1926
Gerald Howell,46,Gemwuw Square,Padokhuh,FL,87112,$2314.70,GREEN,12/13/2059
Winnie Dawson,52,Adubug Plaza,Umejimo,OK,46153,$4989.33,RED,10/30/2062
Philip Burton,28,Henvup Way,Vetokmo,ID,07556,$1403.77,YELLOW,12/12/1938
Kenneth Chambers,29,Heduta View,Pitani,IA,30870,$3155.00,WHITE,09/06/1909
Russell Padilla,61,Enob Parkway,Ontubro,MO,91067,$2019.43,WHITE,02/23/1997
Troy Spencer,18,Soru Pike,Arezker,IA,18187,$9554.10,GREEN,07/15/2058
Cecilia Strickland,47,Zijag Terrace,Mevaem,DC,77102,$3613.16,BLUE,03/28/2026
Alvin Gross,43,Pulma Path,Bacpugin,IL,72020,$1698.39,WHITE,09/10/2068
Derrick Morton,28,Lilit Junction,Nulguuno,CO,19117,$2818.46,WHITE,09/14/1957
Derrick West,48,Uzli Grove,Mamangum,CT,61513,$8725.34,RED,09/25/2037
Olivia Reed,44,Jizte Turnpike,Ertenge,GA,96429,$3533.11,GREEN,05/28/2032
Annie Graham,54,Zazve Key,Vifveluzi,MO,60295,$6447.15,RED,07/08/2033
Chester West,20,Kagi Terrace,Pehagup,ND,41055,$483.81,RED,09/11/2049
Polly Castillo,42,Diku Key,Ifzirju,MS,21545,$7425.15,GREEN,04/10/2031
Keith Cunningham,45,Becugi View,Ozuvivfup,TX,85766,$4371.65,YELLOW,11/09/1959
John Craig,52,Gomdej Avenue,Mokiwini,MT,05450,$3015.27,YELLOW,07/04/2067
Ethel Wheeler,31,Difnep Center,Bigpovmuj,IA,82794,$1772.19,WHITE,03/06/2054
Chad Lawrence,41,Bibos Drive,Rebudi,CO,92327,$3833.77,WHITE,01/23/1922
Miguel Mitchell,47,Vuvo Mill,Juhowobi,MI,26154,$3746.75,BLUE,08/18/2010
Caroline Stevens,30,Mebeg Parkway,Ongeznig,OK,15530,$4948.05,GREEN,10/05/1961
Elnora Jenkins,54,Venduz Pass,Adibiseh,NY,15592,$9973.65,RED,07/25/2035
Lela Kelly,42,Erawo Key,Tiwemuv,DC,28064,$4365.45,RED,07/03/1939
Estella Gardner,46,Ovpok Parkway,Mubreza,GA,60000,$3467.40,BLUE,09/08/1973
Minnie Briggs,28,Loapa Mill,Lopimu,SC,23051,$5963.92,WHITE,09/17/2000
Ralph Parker,29,Woum Junction,Gudear,KY,48462,$4833.71,YELLOW,01/26/2047
Adele Mack,52,Uvjej Lane,Cijeha,NE,86986,$969.14,BLUE,06/12/2029
Clarence Schmidt,63,Noadu River,Kiilem,NC,83757,$1386.87,GREEN,12/25/1942
Bruce Franklin,32,Cujtaw Park,Virafiko,VT,19697,$891.31,YELLOW,01/13/2034
Jeffery Simmons,34,Zucof Pike,Jiwanza,MT,21715,$2421.52,GREEN,01/12/2020
Bernice Jackson,43,Kuvnuk Glen,Lozeinu,IN,05569,$4410.40,GREEN,11/11/2055
Hallie Shelton,28,Mispi Plaza,Anzomec,IN,03778,$8666.90,BLUE,06/21/1908
Hannah Turner,43,Mojkup Terrace,Ogtudven,VA,50682,$9921.15,YELLOW,11/09/1989
Maurice Jones,21,Abuje Ridge,Nuwgitup,CA,48966,$2189.17,WHITE,11/24/1944
Leila Roberts,65,Ivra Square,Cevwuite,TX,17577,$1401.01,WHITE,04/18/1958
Herman Porter,45,Vogmo Plaza,Ebwapaw,IL,60638,$1511.42,WHITE,03/01/1986
Bobby Fisher,53,Bukgew Center,Abakidi,OH,37275,$7209.93,GREEN,08/04/1921
Essie Foster,30,Usoju Way,Fucnemlo,MS,22443,$9603.27,WHITE,12/24/2056
Alberta Vasquez,27,Rovag Boulevard,Akucoum,GA,04259,$471.56,RED,10/01/1923
Francis Bates,19,Huked Junction,Bisidmar,IN,91734,$6031.42,YELLOW,05/28/1973
Elnora Parks,38,Otva Point,Rirroohe,CT,36112,$3339.07,YELLOW,10/11/1929
Lawrence Nunez,48,Ufuidu Circle,Agouroumo,OR,28240,$7994.37,GREEN,09/30/1961
Mayme Daniel,52,Detuv Key,Jevawoca,SD,42454,$3480.59,RED,04/05/2048
Ella Norris,25,Sowa Street,Aldijim,VA,62677,$1673.99,YELLOW,11/26/1919
Miguel Hubbard,20,Unato Grove,Aceviuca,MI,83208,$613.96,RED,11/06/2023
Angel Maldonado,37,Dekog Avenue,Uwtevi,MD,39252,$6209.89,RED,11/19/1918
Theresa Burke,47,Gehir River,Tumowa,MO,35469,$226.81,YELLOW,12/03/2035
Kenneth Medina,64,Zekbez View,Kafdaro,CA,67517,$9149.61,WHITE,09/12/1923
Ronald Morgan,27,Izuipi Path,Locepce,UT,88085,$3804.12,WHITE,07/31/1988
Adele May,48,Geen Way,Cibjacwag,ID,49859,$3583.99,BLUE,11/29/1975
Edwin McCarthy,39,Lafu Junction,Zaitfo,WV,56821,$56.56,GREEN,08/24/2001
Dennis Cooper,59,Wizug Manor,Hounis,DE,18977,$4456.77,BLUE,02/09/2040
Willie Peters,25,Ramdo Glen,Zevuhled,OK,84285,$4843.60,BLUE,12/28/2027
Raymond Horton,29,Datu Street,Nemebse,RI,81430,$6843.99,YELLOW,04/18/1923
Isaac Torres,59,Gunup Path,Hikekepuh,NV,61951,$8000.66,WHITE,03/10/1909
Willie Willis,38,Dawot Plaza,Meciwehu,KY,26153,$3447.95,YELLOW,12/10/1926
Alfred Boone,64,Dikmoc Circle,Lubapi,AR,81659,$8438.10,GREEN,02/03/1930
Nettie Stanley,21,Buvuf Point,Ebpaleb,UT,38608,$2978.68,RED,12/03/1918
Dorothy Long,57,Bapzic Key,Tetrizjun,DC,47825,$2087.24,YELLOW,10/20/1928
Lydia Love,21,Fiani Mill,Amsicol,LA,57463,$8913.70,GREEN,07/11/2055
Linnie Perry,22,Ageno Glen,Cisizpi,MA,99774,$4120.99,GREEN,07/03/1938
Rosa Mendoza,46,Taknov Grove,Jojavicoz,OK,57080,$2084.43,GREEN,06/03/1911
Florence Conner,47,Wodado Square,Camowno,AK,00366,$402.96,BLUE,02/09/1935
Terry Smith,19,Piuzu Way,Enudebu,LA,53993,$1217.05,BLUE,06/26/2027
Helen Harris,19,Koneh Mill,Suphogaj,SD,83889,$1770.13,RED,11/03/2008
Lora Reeves,24,Tovog Loop,Neljehve,TN,99963,$9566.50,GREEN,09/28/2033
Stanley Vargas,49,Bodvuf View,Pirtuzi,KS,16322,$4349.20,YELLOW,10/10/1985
Tyler Guzman,35,Didaf Key,Begonmuk,CT,28299,$2655.63,GREEN,06/21/1999
Mary Chandler,40,Ziak Square,Vephigibo,OH,81376,$3149.25,BLUE,05/19/1954
Hilda Barton,33,Buohe Park,Hewaoku,TN,66957,$7116.08,WHITE,04/28/2007
Franklin Gilbert,32,Kolla Center,Mepzofab,CO,04927,$8681.37,RED,04/15/1919
Gerald Hughes,36,Afhe Center,Pipbosdo,OK,53761,$4122.40,RED,07/04/2067
Alvin Graves,20,Lehebo Court,Radcajo,WY,17903,$2892.21,BLUE,01/07/1954
Russell Chambers,41,Matan Junction,Diwbiwmon,SC,61820,$1146.25,GREEN,10/19/1957
Estella Hudson,21,Jojim Circle,Bopebag,SC,88016,$5611.78,WHITE,02/26/1963
Lois Burton,47,Zuwpaf Ridge,Efubaumu,CO,89131,$5037.68,WHITE,06/23/1937
Ivan Mathis,50,Hebin Key,Ehpalbah,AZ,91900,$7750.70,GREEN,02/13/2022
